text,label
I will destroy your life now,threat
Hello how are you,safe
Don't tell anyone about this,grooming
"Hey, Go away",harassment
Let's keep this secret quickly,grooming
"Hey, I will hurt you",threat
See you tomorrow quickly,safe
Can you nobody likes you,harassment
Stop talking nonsense now,harassment
Can you it's just between us,grooming
Something bad will happen to you now,threat
Take care,safe
Can you go away,harassment
You are useless now,harassment
Hello how are you please,safe
Shut up idiot,harassment
Can you see you tomorrow,safe
"Hey, I will destroy your life",threat
"Hey, What are you doing today",safe
Are you alone right now now,grooming
What are you doing today,safe
Can you i will hurt you,threat
You are worthless now,harassment
"Hey, Don't tell anyone about this",grooming
Hope you are doing well now,safe
Good morning quickly,safe
You are pathetic please,harassment
Why don't you you are stupid,harassment
Why don't you are you alone right now,grooming
You are going to regret this,threat
Take care,safe
Can you let's study together,safe
"Hey, You are mature for your age",grooming
What are you doing today quickly,safe
Why don't you i like you more than your friends,grooming
I will kill you quickly,threat
You don't need to tell your parents please,grooming
Why don't you i will destroy your life,threat
Something bad will happen to you now,threat
Nice to meet you quickly,safe
Nobody likes you quickly,harassment
You are mature for your age please,grooming
You don't need to tell your parents now,grooming
Go away quickly,harassment
You are mature for your age please,grooming
Why don't you i will find you,threat
"Hey, I will find you",threat
Can you you cannot escape,threat
I will expose you quickly,threat
Hello how are you quickly,safe
You don't need to tell your parents,grooming
How was your day,safe
"Hey, I will kill you",threat
You are going to regret this now,threat
Why don't you shut up idiot,harassment
I hate you,harassment
You cannot escape quickly,threat
I will hurt you please,threat
Can you hello how are you,safe
Why don't you what are you doing today,safe
"Hey, You better be careful",threat
You are useless now,harassment
"Hey, Don't tell anyone about this",grooming
You can trust me quickly,grooming
Shut up idiot now,harassment
I will destroy your life now,threat
How was your day now,safe
Can you see you tomorrow,safe
"Hey, What are you doing today",safe
Go away quickly,harassment
Send me your picture now,grooming
Send me your picture please,grooming
Can you i will destroy your life,threat
Can you let's study together,safe
I like you more than your friends,grooming
Nice to meet you,safe
Why don't you stop talking nonsense,harassment
Something bad will happen to you now,threat
Nobody likes you now,harassment
You are so annoying,harassment
You are useless quickly,harassment
I will destroy your life please,threat
Why don't you i will find you,threat
"Hey, Good morning",safe
I will kill you now,threat
Can you you are so annoying,harassment
You better be careful,threat
Why don't you nobody likes you,harassment
Why don't you you cannot escape,threat
"Hey, I will hurt you",threat
Let's keep this secret now,grooming
You are worthless quickly,harassment
I will expose you,threat
Good morning,safe
You are stupid,harassment
Hope you are doing well now,safe
"Hey, You are mature for your age",grooming
Can you i will find you,threat
Why don't you see you tomorrow,safe
How was your day quickly,safe
"Hey, You are so annoying",harassment
Why don't you it's just between us,grooming
You are worthless,harassment
You cannot escape quickly,threat
You are going to regret this please,threat
You are pathetic please,harassment
You are pathetic now,harassment
Have a great day now,safe
Why don't you hope you are doing well,safe
You don't need to tell your parents please,grooming
Can you you are pathetic,harassment
"Hey, You are stupid",harassment
Can you you are worthless,harassment
Can you you are useless,harassment
"Hey, Hello how are you",safe
"Hey, You can trust me",grooming
Can you hello how are you,safe
You are mature for your age,grooming
Shut up idiot,harassment
You cannot escape now,threat
Let's keep this secret please,grooming
I will expose you,threat
Can you i hate you,harassment
It's just between us now,grooming
I will find you quickly,threat
I will hurt you,threat
"Hey, You are worthless",harassment
Good morning,safe
"Hey, Good morning",safe
You are so annoying please,harassment
Why don't you take care,safe
Good morning now,safe
You cannot escape quickly,threat
You are so annoying,harassment
"Hey, Let's study together",safe
I will expose you quickly,threat
"Hey, I will hurt you",threat
"Hey, It's just between us",grooming
Good morning please,safe
Can you are you alone right now,grooming
Are you alone right now please,grooming
Can you you better be careful,threat
What are you doing today now,safe
"Hey, Send me your picture",grooming
"Hey, I will destroy your life",threat
"Hey, I will find you",threat
Something bad will happen to you please,threat
Send me a private photo,grooming
It's just between us,grooming
Why don't you it's just between us,grooming
"Hey, See you tomorrow",safe
"Hey, I will find you",threat
Why don't you you are pathetic,harassment
You are so annoying,harassment
"Hey, Send me a private photo",grooming
Hello how are you quickly,safe
Go away,harassment
Have a great day quickly,safe
"Hey, You cannot escape",threat
Nobody likes you quickly,harassment
Something bad will happen to you quickly,threat
You are going to regret this please,threat
Can you hope you are doing well,safe
You are pathetic now,harassment
I will hurt you quickly,threat
Hope you are doing well now,safe
I will find you now,threat
Can you it's just between us,grooming
Let's study together quickly,safe
"Hey, Nobody likes you",harassment
"Hey, Take care",safe
Something bad will happen to you,threat
Hope you are doing well quickly,safe
You don't need to tell your parents quickly,grooming
See you tomorrow,safe
"Hey, Let's study together",safe
Can you let's study together,safe
You are stupid now,harassment
Can you i hate you,harassment
I hate you quickly,harassment
I will expose you quickly,threat
I will find you please,threat
Why don't you nobody likes you,harassment
Can you you are going to regret this,threat
"Hey, It's just between us",grooming
Why don't you shut up idiot,harassment
Take care,safe
Why don't you watch what happens to you,threat
Why don't you stop talking nonsense,harassment
You are going to regret this now,threat
You are going to regret this now,threat
Why don't you send me a private photo,grooming
"Hey, Go away",harassment
See you tomorrow please,safe
"Hey, I will expose you",threat
How was your day quickly,safe
Can you send me your picture,grooming
Let's study together now,safe
Can you take care,safe
Why don't you you cannot escape,threat
Why don't you send me your picture,grooming
Why don't you you cannot escape,threat
Hello how are you please,safe
You are so annoying now,harassment
You are pathetic,harassment
Can you you are going to regret this,threat
Send me a private photo quickly,grooming
Take care now,safe
Can you let's keep this secret,grooming
Hope you are doing well,safe
Don't tell anyone about this now,grooming
Can you i will destroy your life,threat
Can you i will kill you,threat
Are you alone right now please,grooming
Nobody likes you quickly,harassment
I will find you quickly,threat
"Hey, Hope you are doing well",safe
You are stupid now,harassment
Have a great day now,safe
Can you i will expose you,threat
Why don't you i will kill you,threat
You are mature for your age quickly,grooming
Can you i will hurt you,threat
"Hey, You don't need to tell your parents",grooming
Why don't you have a great day,safe
"Hey, You are useless",harassment
Are you alone right now please,grooming
You are so annoying please,harassment
You are useless,harassment
Send me your picture,grooming
"Hey, You are stupid",harassment
"Hey, It's just between us",grooming
Why don't you let's keep this secret,grooming
Go away now,harassment
Hope you are doing well now,safe
"Hey, You cannot escape",threat
Why don't you i will hurt you,threat
"Hey, Let's keep this secret",grooming
I will destroy your life please,threat
Are you alone right now,grooming
Why don't you what are you doing today,safe
You can trust me please,grooming
It's just between us quickly,grooming
Don't tell anyone about this,grooming
I will expose you please,threat
Let's study together quickly,safe
I will find you please,threat
Hello how are you,safe
You are so annoying quickly,harassment
Can you you are useless,harassment
Take care now,safe
You are pathetic please,harassment
Nobody likes you quickly,harassment
Let's keep this secret quickly,grooming
Why don't you how was your day,safe
How was your day now,safe
You are going to regret this please,threat
Don't tell anyone about this quickly,grooming
I will find you,threat
Are you alone right now quickly,grooming
"Hey, Go away",harassment
Why don't you you cannot escape,threat
Let's study together quickly,safe
You are useless please,harassment
You are useless please,harassment
"Hey, I like you more than your friends",grooming
Why don't you you are so annoying,harassment
Can you i will destroy your life,threat
Have a great day please,safe
You cannot escape please,threat
You better be careful quickly,threat
You are worthless now,harassment
I will destroy your life now,threat
Go away now,harassment
You are so annoying now,harassment
Can you go away,harassment
Why don't you i will find you,threat
Why don't you you are mature for your age,grooming
I will hurt you,threat
You are mature for your age quickly,grooming
Let's study together,safe
Can you let's keep this secret,grooming
Can you hello how are you,safe
"Hey, You are useless",harassment
See you tomorrow quickly,safe
"Hey, You cannot escape",threat
You better be careful now,threat
You better be careful quickly,threat
Why don't you you are stupid,harassment
"Hey, You are pathetic",harassment
Can you send me a private photo,grooming
You don't need to tell your parents quickly,grooming
Can you you are stupid,harassment
Can you let's study together,safe
Can you let's keep this secret,grooming
Stop talking nonsense quickly,harassment
You are useless please,harassment
Nobody likes you now,harassment
I will destroy your life,threat
Hope you are doing well now,safe
Why don't you shut up idiot,harassment
Hope you are doing well now,safe
Nice to meet you,safe
You are useless quickly,harassment
You better be careful please,threat
"Hey, How was your day",safe
I will find you please,threat
Good morning please,safe
Why don't you let's keep this secret,grooming
Nobody likes you now,harassment
You better be careful quickly,threat
Can you you are useless,harassment
I will expose you quickly,threat
You can trust me quickly,grooming
Are you alone right now now,grooming
I will expose you,threat
You better be careful now,threat
"Hey, You are useless",harassment
You are so annoying please,harassment
"Hey, Nice to meet you",safe
You are so annoying quickly,harassment
Go away,harassment
Take care,safe
Shut up idiot,harassment
You are mature for your age now,grooming
Why don't you take care,safe
How was your day please,safe
"Hey, Send me your picture",grooming
You are pathetic please,harassment
Can you it's just between us,grooming
I hate you quickly,harassment
Can you you are stupid,harassment
Why don't you you can trust me,grooming
Can you let's study together,safe
Why don't you you are useless,harassment
I will find you,threat
You don't need to tell your parents,grooming
You are useless,harassment
Why don't you go away,harassment
You cannot escape please,threat
Why don't you something bad will happen to you,threat
Can you something bad will happen to you,threat
Take care now,safe
Send me a private photo quickly,grooming
You are pathetic quickly,harassment
You can trust me please,grooming
"Hey, Hope you are doing well",safe
Go away now,harassment
"Hey, Send me your picture",grooming
Take care now,safe
"Hey, How was your day",safe
Let's study together quickly,safe
You are mature for your age quickly,grooming
Can you send me your picture,grooming
Good morning now,safe
"Hey, You are pathetic",harassment
Why don't you see you tomorrow,safe
Why don't you nobody likes you,harassment
Why don't you what are you doing today,safe
Nice to meet you please,safe
You are stupid,harassment
I like you more than your friends quickly,grooming
You are stupid please,harassment
"Hey, You cannot escape",threat
"Hey, I will kill you",threat
Why don't you let's keep this secret,grooming
Nobody likes you please,harassment
Send me your picture,grooming
Good morning please,safe
Can you nobody likes you,harassment
Can you you can trust me,grooming
Nobody likes you please,harassment
Why don't you don't tell anyone about this,grooming
Can you you are mature for your age,grooming
I will hurt you now,threat
You can trust me please,grooming
Hello how are you now,safe
You are going to regret this quickly,threat
See you tomorrow please,safe
Don't tell anyone about this,grooming
How was your day please,safe
I will hurt you please,threat
Have a great day,safe
I will expose you please,threat
Watch what happens to you please,threat
Why don't you you are useless,harassment
"Hey, See you tomorrow",safe
Can you take care,safe
You are mature for your age,grooming
I will find you,threat
Nice to meet you now,safe
Good morning now,safe
I will hurt you please,threat
"Hey, Take care",safe
Nice to meet you please,safe
Nice to meet you please,safe
Send me a private photo now,grooming
Something bad will happen to you quickly,threat
Why don't you you are going to regret this,threat
You are worthless please,harassment
"Hey, How was your day",safe
Can you how was your day,safe
Why don't you have a great day,safe
I will kill you now,threat
You don't need to tell your parents quickly,grooming
Why don't you hello how are you,safe
Can you you better be careful,threat
Hope you are doing well now,safe
I will expose you please,threat
How was your day quickly,safe
Can you you are stupid,harassment
"Hey, You are worthless",harassment
I like you more than your friends,grooming
"Hey, You are useless",harassment
"Hey, Shut up idiot",harassment
"Hey, It's just between us",grooming
Are you alone right now please,grooming
I will expose you quickly,threat
I like you more than your friends,grooming
"Hey, Have a great day",safe
I will find you please,threat
Let's study together now,safe
You are so annoying please,harassment
Can you send me a private photo,grooming
It's just between us quickly,grooming
Send me your picture quickly,grooming
Can you you are worthless,harassment
"Hey, See you tomorrow",safe
How was your day now,safe
"Hey, Go away",harassment
Send me a private photo,grooming
Go away,harassment
Why don't you what are you doing today,safe
"Hey, You better be careful",threat
You are stupid quickly,harassment
Why don't you something bad will happen to you,threat
Why don't you how was your day,safe
You are useless quickly,harassment
"Hey, Go away",harassment
Go away now,harassment
Why don't you i will find you,threat
Why don't you you are going to regret this,threat
Why don't you you are so annoying,harassment
Hope you are doing well now,safe
"Hey, Nobody likes you",harassment
Send me a private photo now,grooming
Send me a private photo,grooming
Why don't you you are pathetic,harassment
Send me a private photo,grooming
Take care,safe
Can you let's keep this secret,grooming
I like you more than your friends quickly,grooming
Can you hello how are you,safe
You are so annoying,harassment
"Hey, You better be careful",threat
You are going to regret this now,threat
You are useless please,harassment
Are you alone right now,grooming
Why don't you send me your picture,grooming
"Hey, It's just between us",grooming
Nobody likes you,harassment
"Hey, I will hurt you",threat
Can you watch what happens to you,threat
Send me your picture please,grooming
Send me a private photo please,grooming
Can you good morning,safe
Can you nobody likes you,harassment
Send me a private photo now,grooming
It's just between us now,grooming
Why don't you i hate you,harassment
You better be careful,threat
Something bad will happen to you please,threat
Why don't you how was your day,safe
Stop talking nonsense please,harassment
Can you send me your picture,grooming
See you tomorrow please,safe
Let's study together,safe
"Hey, Watch what happens to you",threat
Why don't you don't tell anyone about this,grooming
"Hey, Stop talking nonsense",harassment
You are pathetic quickly,harassment
"Hey, Are you alone right now",grooming
How was your day quickly,safe
Don't tell anyone about this,grooming
I hate you,harassment
You can trust me now,grooming
Why don't you i will hurt you,threat
Take care now,safe
Have a great day quickly,safe
Hope you are doing well,safe
Nice to meet you quickly,safe
Take care,safe
"Hey, You are so annoying",harassment
Send me your picture,grooming
You are pathetic,harassment
Why don't you i like you more than your friends,grooming
You are so annoying,harassment
"Hey, Send me a private photo",grooming
Can you hope you are doing well,safe
Send me your picture please,grooming
"Hey, You can trust me",grooming
Good morning,safe
I will find you,threat
Can you you are so annoying,harassment
Take care,safe
Why don't you take care,safe
Hope you are doing well now,safe
Can you nice to meet you,safe
Can you nobody likes you,harassment
"Hey, I will hurt you",threat
I will kill you quickly,threat
Send me a private photo now,grooming
I will find you quickly,threat
Send me a private photo quickly,grooming
Nobody likes you please,harassment
Can you i hate you,harassment
Why don't you you don't need to tell your parents,grooming
I will find you,threat
Can you i will expose you,threat
Send me a private photo,grooming
You are mature for your age please,grooming
You are mature for your age,grooming
Why don't you shut up idiot,harassment
"Hey, I hate you",harassment
Why don't you you cannot escape,threat
Can you i will expose you,threat
I will destroy your life now,threat
Can you let's keep this secret,grooming
Can you you don't need to tell your parents,grooming
"Hey, You are mature for your age",grooming
It's just between us,grooming
What are you doing today quickly,safe
Why don't you nobody likes you,harassment
I will expose you,threat
Why don't you see you tomorrow,safe
Send me your picture quickly,grooming
What are you doing today,safe
You better be careful,threat
Why don't you you better be careful,threat
"Hey, I hate you",harassment
Don't tell anyone about this now,grooming
Nice to meet you,safe
"Hey, I like you more than your friends",grooming
"Hey, Something bad will happen to you",threat
Go away quickly,harassment
Shut up idiot quickly,harassment
You are stupid quickly,harassment
You are worthless quickly,harassment
"Hey, Stop talking nonsense",harassment
"Hey, Shut up idiot",harassment
It's just between us,grooming
Take care please,safe
Watch what happens to you quickly,threat
I hate you now,harassment
Can you hope you are doing well,safe
Why don't you you don't need to tell your parents,grooming
You can trust me quickly,grooming
Why don't you something bad will happen to you,threat
I will hurt you,threat
Send me your picture quickly,grooming
It's just between us quickly,grooming
"Hey, Take care",safe
Why don't you i will destroy your life,threat
Why don't you send me your picture,grooming
Send me your picture now,grooming
Why don't you have a great day,safe
Can you send me your picture,grooming
You are stupid,harassment
Shut up idiot quickly,harassment
Good morning now,safe
Let's study together now,safe
Hope you are doing well,safe
I hate you now,harassment
You are going to regret this now,threat
Are you alone right now,grooming
"Hey, Are you alone right now",grooming
Can you you don't need to tell your parents,grooming
"Hey, You are pathetic",harassment
Watch what happens to you please,threat
Something bad will happen to you please,threat
I hate you please,harassment
Hope you are doing well,safe
You are so annoying please,harassment
"Hey, Nobody likes you",harassment
Send me a private photo quickly,grooming
Can you don't tell anyone about this,grooming
"Hey, You are pathetic",harassment
Send me your picture please,grooming
I like you more than your friends quickly,grooming
You better be careful now,threat
Can you something bad will happen to you,threat
Why don't you you are mature for your age,grooming
Send me your picture now,grooming
You can trust me now,grooming
Can you i like you more than your friends,grooming
Can you how was your day,safe
Why don't you i will find you,threat
Are you alone right now,grooming
Why don't you i will expose you,threat
Hope you are doing well,safe
You better be careful please,threat
Are you alone right now quickly,grooming
Nobody likes you please,harassment
Send me a private photo quickly,grooming
Can you let's study together,safe
Watch what happens to you,threat
"Hey, I will expose you",threat
"Hey, See you tomorrow",safe
See you tomorrow please,safe
Why don't you stop talking nonsense,harassment
You are stupid please,harassment
I hate you,harassment
"Hey, I will destroy your life",threat
"Hey, You can trust me",grooming
You cannot escape quickly,threat
Don't tell anyone about this please,grooming
Are you alone right now quickly,grooming
Let's study together now,safe
Hope you are doing well now,safe
Go away quickly,harassment
Something bad will happen to you,threat
I will find you quickly,threat
Why don't you hope you are doing well,safe
"Hey, How was your day",safe
Let's keep this secret,grooming
See you tomorrow,safe
I will expose you,threat
How was your day,safe
"Hey, You cannot escape",threat
Can you it's just between us,grooming
I will destroy your life now,threat
You better be careful please,threat
Stop talking nonsense now,harassment
Can you i will expose you,threat
I will find you please,threat
"Hey, You can trust me",grooming
Why don't you you don't need to tell your parents,grooming
I will expose you please,threat
Why don't you i hate you,harassment
You better be careful,threat
Stop talking nonsense quickly,harassment
You can trust me quickly,grooming
"Hey, You are going to regret this",threat
I will find you,threat
You are going to regret this now,threat
Can you i like you more than your friends,grooming
Something bad will happen to you,threat
I will destroy your life,threat
Why don't you nice to meet you,safe
"Hey, You don't need to tell your parents",grooming
Are you alone right now,grooming
Why don't you you are stupid,harassment
Hello how are you quickly,safe
Hope you are doing well now,safe
Why don't you what are you doing today,safe
"Hey, You are pathetic",harassment
Can you are you alone right now,grooming
Can you what are you doing today,safe
Send me a private photo,grooming
Why don't you you are going to regret this,threat
Go away now,harassment
It's just between us please,grooming
Why don't you how was your day,safe
I like you more than your friends,grooming
Something bad will happen to you please,threat
Can you you better be careful,threat
You better be careful,threat
Send me a private photo please,grooming
"Hey, See you tomorrow",safe
"Hey, Shut up idiot",harassment
Stop talking nonsense quickly,harassment
Can you nice to meet you,safe
You can trust me now,grooming
Take care quickly,safe
Can you don't tell anyone about this,grooming
Are you alone right now now,grooming
How was your day quickly,safe
Nice to meet you,safe
Can you send me a private photo,grooming
Watch what happens to you,threat
Why don't you let's keep this secret,grooming
Are you alone right now now,grooming
You can trust me quickly,grooming
You don't need to tell your parents please,grooming
"Hey, You don't need to tell your parents",grooming
Can you you are so annoying,harassment
I like you more than your friends now,grooming
I will destroy your life please,threat
Let's keep this secret now,grooming
You can trust me quickly,grooming
"Hey, You are useless",harassment
"Hey, Send me a private photo",grooming
"Hey, Let's study together",safe
"Hey, It's just between us",grooming
You can trust me now,grooming
It's just between us please,grooming
You are mature for your age now,grooming
"Hey, You are so annoying",harassment
Can you watch what happens to you,threat
Can you you are so annoying,harassment
"Hey, You are mature for your age",grooming
Something bad will happen to you quickly,threat
"Hey, You are stupid",harassment
What are you doing today now,safe
Why don't you how was your day,safe
I will kill you please,threat
Can you i hate you,harassment
Go away now,harassment
Why don't you i hate you,harassment
Can you you are going to regret this,threat
Watch what happens to you quickly,threat
Why don't you have a great day,safe
It's just between us,grooming
Nobody likes you,harassment
Nice to meet you please,safe
You can trust me please,grooming
I will kill you quickly,threat
Hope you are doing well quickly,safe
I will expose you,threat
"Hey, I will find you",threat
You better be careful,threat
Why don't you go away,harassment
I will kill you,threat
Why don't you i hate you,harassment
Can you i like you more than your friends,grooming
I will kill you quickly,threat
I will hurt you now,threat
Stop talking nonsense,harassment
Why don't you you are stupid,harassment
Why don't you hello how are you,safe
"Hey, Take care",safe
Nobody likes you please,harassment
You are mature for your age now,grooming
Why don't you nobody likes you,harassment
Watch what happens to you,threat
Send me your picture quickly,grooming
I like you more than your friends,grooming
"Hey, Hello how are you",safe
Can you have a great day,safe
Why don't you i will expose you,threat
You are going to regret this please,threat
Why don't you see you tomorrow,safe
Go away please,harassment
Nobody likes you now,harassment
I will find you now,threat
Let's keep this secret quickly,grooming
"Hey, You are pathetic",harassment
Watch what happens to you quickly,threat
Hope you are doing well now,safe
Nobody likes you now,harassment
Nobody likes you now,harassment
"Hey, Send me your picture",grooming
Let's keep this secret now,grooming
You are going to regret this,threat
Why don't you i hate you,harassment
Why don't you how was your day,safe
You are pathetic now,harassment
Nobody likes you now,harassment
What are you doing today now,safe
Let's study together now,safe
"Hey, You are worthless",harassment
Hello how are you now,safe
Can you you are stupid,harassment
"Hey, Are you alone right now",grooming
You are worthless please,harassment
Have a great day now,safe
Can you you are so annoying,harassment
You are pathetic quickly,harassment
Can you nobody likes you,harassment
Send me a private photo quickly,grooming
You are mature for your age,grooming
Are you alone right now,grooming
Why don't you i will expose you,threat
Send me a private photo,grooming
Can you it's just between us,grooming
Stop talking nonsense,harassment
Let's study together now,safe
Go away,harassment
Nobody likes you,harassment
Hope you are doing well,safe
How was your day please,safe
Can you nice to meet you,safe
I will kill you,threat
Nice to meet you please,safe
Go away,harassment
Hope you are doing well now,safe
I will expose you please,threat
Why don't you nobody likes you,harassment
Hello how are you quickly,safe
What are you doing today now,safe
You are mature for your age,grooming
You can trust me,grooming
Don't tell anyone about this please,grooming
Why don't you what are you doing today,safe
I will expose you quickly,threat
Why don't you good morning,safe
I will expose you,threat
I will destroy your life,threat
"Hey, Something bad will happen to you",threat
I like you more than your friends,grooming
Can you have a great day,safe
I will find you please,threat
Send me your picture now,grooming
Can you you better be careful,threat
"Hey, Let's study together",safe
Why don't you you cannot escape,threat
I will kill you,threat
You better be careful now,threat
Why don't you go away,harassment
"Hey, It's just between us",grooming
Why don't you watch what happens to you,threat
Can you go away,harassment
Why don't you are you alone right now,grooming
Can you are you alone right now,grooming
Nice to meet you,safe
What are you doing today quickly,safe
Have a great day now,safe
I will destroy your life,threat
How was your day please,safe
Why don't you don't tell anyone about this,grooming
It's just between us quickly,grooming
Can you stop talking nonsense,harassment
Can you what are you doing today,safe
Are you alone right now now,grooming
I will kill you,threat
You better be careful quickly,threat
Why don't you good morning,safe
"Hey, You are worthless",harassment
You are so annoying now,harassment
I hate you now,harassment
"Hey, Go away",harassment
"Hey, Hope you are doing well",safe
Hello how are you quickly,safe
Why don't you send me your picture,grooming
Nobody likes you,harassment
I will kill you now,threat
You are worthless now,harassment
Can you let's study together,safe
Take care please,safe
You are stupid now,harassment
You can trust me,grooming
Can you i will hurt you,threat
Why don't you have a great day,safe
Shut up idiot,harassment
"Hey, Let's keep this secret",grooming
Shut up idiot now,harassment
Can you hello how are you,safe
Why don't you you better be careful,threat
"Hey, Go away",harassment
I like you more than your friends,grooming
You are useless now,harassment
Shut up idiot now,harassment
Let's keep this secret now,grooming
Have a great day please,safe
Let's study together quickly,safe
Good morning now,safe
I will destroy your life please,threat
I will kill you now,threat
"Hey, Don't tell anyone about this",grooming
I will hurt you,threat
Why don't you how was your day,safe
Watch what happens to you quickly,threat
"Hey, Hope you are doing well",safe
Can you you are worthless,harassment
Are you alone right now now,grooming
I hate you now,harassment
Why don't you you are going to regret this,threat
Why don't you you cannot escape,threat
I hate you now,harassment
Can you how was your day,safe
Send me a private photo now,grooming
You are going to regret this please,threat
Why don't you you are stupid,harassment
Don't tell anyone about this quickly,grooming
"Hey, Send me a private photo",grooming
I will hurt you now,threat
You are mature for your age please,grooming
You are useless please,harassment
Can you nobody likes you,harassment
